•4K「IPV4」,#genre#
「LPL」20:00 -NIP vs JDG-NIP vs JDG-官方解说,https://tv.iill.top/Migu/SfGa8q
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-周雨 闫安 程靖淇 周冠达,https://tv.iill.top/Migu/Op2xAq
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-侯英超,https://tv.iill.top/Migu/tup0Vf
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-小马哥,https://tv.iill.top/Migu/AVBqWN
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-训练馆,https://tv.iill.top/Migu/qhalJ7
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-候场区,https://tv.iill.top/Migu/cn7Xnx
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-1号桌,https://tv.iill.top/Migu/eNYq94
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-2号桌,https://tv.iill.top/Migu/K4VyEF
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-3号桌,https://tv.iill.top/Migu/TjD6TK
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-4号桌,https://tv.iill.top/Migu/kackvd
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-5号桌,https://tv.iill.top/Migu/Pcda0H
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-6号桌,https://tv.iill.top/Migu/GMEp0X
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-7号桌,https://tv.iill.top/Migu/SG0KkK
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-8号桌,https://tv.iill.top/Migu/2Qqg6K
「多哈世乒赛」21:00 -多哈世乒赛：单打1/32决赛、双打1/16决赛-单打1/32决赛、双打1/16决赛-1号桌英文解说,https://tv.iill.top/Migu/x4Qzzj
•港澳「限制」,#genre#
翡翠台,https://yang-1989.eu.org/live/TVB-Jade
無綫新聞台,https://yang-1989.eu.org/live/TVB-News-Channel
鳳凰衛視·中文「限UA」,https://tv.iill.top/phenix/fhzw
鳳凰衛視·資訊「限UA」,https://tv.iill.top/phenix/fhzx
鳳凰衛視·香港「限UA」,https://tv.iill.top/phenix/fhhk
HOY 國際財經台「限HK」,https://hoytv-live-stream.hoy.tv/ch76/index-fhd.m3u8
HOY TV「限HK」,https://hoytv-live-stream.hoy.tv/ch77/index-fhd.m3u8
HOY 資訊台「限HK」,https://hoytv-live-stream.hoy.tv/ch78/index-fhd.m3u8
RTHK 31「限HK」,https://rthktv31-live.akamaized.net/hls/live/2036818/RTHKTV31/stream5/streamPlaylist.m3u8
RTHK 32「限HK」,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
RTHK 33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8
RTHK 34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8
RTHK 35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8
TVB 功夫台,https://lb-mvtv-live.v2h-cdn.com/redirect/asia_action1/1asia_action.stream?type=m3u8
香港衛視,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳門蓮花,http://1033946631.cloudvdn.com/a.m3u8?domain=live-hdl.macaulotustv.com&player=1&streamid=lotustv:lotustv/macaulotustv&v3=1
澳門Macau,https://live5.tdm.com.mo/ch3/ch3.live/playlist.m3u8
澳門葡文,https://live5.tdm.com.mo/ch2/ch2.live/playlist.m3u8
澳視澳門,https://live5.tdm.com.mo/ch1/ch1.live/playlist.m3u8
澳門資訊,https://live5.tdm.com.mo/ch5/info_ch5.live/playlist.m3u8
澳門體育,https://live5.tdm.com.mo/ch4/sport_ch4.live/playlist.m3u8
澳門綜藝,https://live5.tdm.com.mo/ch6/hd_ch6.live/playlist.m3u8
•台湾「限制」,#genre#
博斯無限 一,https://tv.iill.top/litv/litv-longturn10
博斯無限 二,https://tv.iill.top/litv/litv-longturn13
博斯網球,https://tv.iill.top/litv/litv-longturn09
博斯運動 一,https://tv.iill.top/litv/litv-longturn07
博斯運動 二,https://tv.iill.top/litv/litv-longturn08
博斯高球一,https://tv.iill.top/litv/litv-longturn05
博斯高球 二,https://tv.iill.top/litv/litv-longturn06
博斯魅力,https://tv.iill.top/litv/litv-longturn04
時尚運動X,https://tv.iill.top/4gtv/277
智林體育,https://tv.iill.top/litv/4gtv-4gtv101
東森新聞,https://tv.iill.top/litv/4gtv-4gtv152
東森財經新聞,https://tv.iill.top/litv/4gtv-4gtv153
三立新聞,https://tv.iill.top/4gtv/229
三立綜合,https://tv.iill.top/4gtv/169
TVBS,https://tv.iill.top/litv/4gtv-4gtv073
TVBS 新聞,https://tv.iill.top/litv/4gtv-4gtv072
TVBS 歡樂,https://tv.iill.top/litv/4gtv-4gtv068
TVBS 精采,https://tv.iill.top/litv/4gtv-4gtv067
TVBS 綜藝,https://tv.iill.top/4gtv/284
TVBS 台劇,https://tv.iill.top/4gtv/285
中天亞洲,https://tv.iill.top/litv/4gtv-4gtv109
